tf,mean_untrt,mean_trt,mean_delta,p_value,padj
TEAD1,-2.861303041849377,2.3224247129511713,5.1837277548005485,0.02059788738100245,0.18606758267505547
ZNF639,1.983236939356411,-1.7054244125275235,-3.6886613518839346,0.11877690663822617,0.30950520864383935
ELF1,-1.9498577504430261,1.7091240308089097,3.658981781251936,0.015413089819395293,0.17948232670557152
STAT1,1.6879159516003426,-1.8620748084996326,-3.5499907600999747,0.015246189949262658,0.17948232670557152
RUNX3,1.8236543419698292,-1.6645124439017085,-3.4881667858715377,2.3276480480754068e-4,0.03153963105142176
MAF,1.6578965975189899,-1.7713192145927146,-3.4292158121117042,0.002716467076050259,0.10516608251566004
MEF2C,1.4890903505853386,-1.5986497920042855,-3.087740142589624,0.016515856826895454,0.17948232670557152
ELK1,-1.6727649371536266,1.3723274335298428,3.0450923706834696,0.007105959055273695,0.1481319156907055
ATF3,1.6724470177221484,-1.3079747849103276,-2.9804218026324762,0.009826846190468511,0.15665148927158626
NFYB,-1.6041942541255922,1.3230330050309727,2.927227259156565,0.02447847299268108,0.19510782885342862
ZFX,-1.6526489033862224,1.237262500511968,2.8899114038981906,0.06948687795850154,0.22964565764334047
THAP11,1.6174438158257458,-1.1779194510501154,-2.7953632668758615,0.03836907160383266,0.21112369762295846
TWIST1,1.4319870026917512,-1.319354258329223,-2.7513412610209738,0.0165574102126911,0.17948232670557152
BCL6,1.5214771225052757,-1.1878895304043922,-2.709366652909668,0.0439967008903725,0.21112369762295846
NR2F1,1.2597480676827582,-1.4451358756568746,-2.704883943339633,0.12178479070441238,0.310769808342742
KLF6,-1.5585540102208832,1.1292491183615583,2.6878031285824413,0.03403996729469878,0.21112369762295846
ARID3A,-1.4538431048155336,1.2238215605539544,2.677664665369488,0.07891797905588487,0.23763080360160888
SMAD1,1.2752211973536407,-1.362916163742823,-2.638137361096464,0.018012146770602415,0.18606758267505547
IRF1,1.3149197736895226,-1.2886882963856319,-2.6036080700751545,0.006877274144154867,0.1481319156907055
GATA1,1.3020233316659233,-1.27521988831248,-2.5772432199784032,2.0434276564863693e-4,0.03153963105142176
FOS,1.1906384822846559,-1.3009244979617633,-2.491562980246419,0.05292592251425176,0.21731704547518527
NCOA3,-1.3355268986426496,1.1440877903823232,2.479614689024973,0.04578869651939806,0.21112369762295846
STAT2,1.213761497226359,-1.2544399050329185,-2.4682014022592775,0.0733268984808094,0.23541572239233524
IRF9,1.2326862583238454,-1.234334377758961,-2.4670206360828066,0.0687472432392843,0.22964565764334047
ZBTB11,-1.3409723228455985,1.1260477503206643,2.4670200731662626,0.21829290289789824,0.4382027902617069
